PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
4434,Unknown,2772,6.832567,6.8616,7.048467,162.9572,24817356,96651704,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,317.7212,162.90245:26597 162.95724:10385561 163.01344:34663 163.01689:21201 163.96072:309912 164.95441:3178167 165.0217:21610 165.06595:32706 165.95772:106088 166.05043:18753 167.07037:23305,61.01447:14189 69.02717:12069 96.96505:945118 143.00957:17814 162.95683:2845420
4436,Unknown,2772,6.832567,6.8616,7.0397,164.9544,7960924,30746698,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,160.4417,164.95441:3178167 165.0217:21610 165.06595:32706 165.95772:106088 166.05043:18753 167.07037:23305 168.98853:50006 169.0865:32833 169.12248:41843,52.15927:2867 54.34325:2909 56.54614:3225 59.95354:3761 65.17484:3180 74.3959:3378 84.69089:3179 91.74184:3413 98.96255:47669 106.72665:3593 108.04386:4746 136.54604:4054 164.95404:145267
4439,Unknown,2772,6.698317,6.8616,6.98005,252.9404,1111820.625,5455411.5,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,8.902942,252.94035:497217 252.99667:20387 253.10889:59226 253.94398:30183 254.93723:187552 255.04436:49361 255.12328:66711 255.23283:229375 255.95659:18150 256.23648:43001 256.93231:20620 257.04272:22662 257.0488:131849 257.06076:128357 257.11966:87946 257.1395:26238,52.77311:4036 56.37151:3201 64.58302:4153 79.95583:17190 80.96346:8634 89.56358:3629 93.97202:4086 100.36532:3814 108.159:4362 125.14713:4314 131.46083:4708 140.22833:3907 173.95508:5188 177.8223:4763 189.94708:7391 221.93936:12071 237.91612:211941 252.93977:55396 252.99692:6292 253.21844:4774
4440,Unknown,2772,6.832567,6.8616,7.02465,296.9507,1203024,5626643,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,6.728546,296.95068:539362 297.0271:142390 297.08771:216665 297.13516:55968 297.93481:183516 297.95422:38554 298.03107:25712 298.03961:38811 298.09207:36792 298.85385:25255 298.94327:16777 298.94815:323568 299.00583:43504 299.11496:19773 299.15054:28417 299.93259:99789 299.95084:26718 300.05557:32121 300.06421:22421 300.09872:32382 300.94492:35148 301.05017:47613 301.08646:88586 301.16544:64613 301.92905:22856 301.94769:19227,55.9595:3969 79.58012:5012 80.96395:100733 128.44708:4676 209.10875:34922 209.88445:4792 214.97975:26258 297.02747:31728 297.08688:12436 297.13547:5220
4447,Unknown,2776,6.744884,6.869833,6.900633,206.952,1852392.75,8588608,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,11.20476,206.95195:536444 207.03252:21576 207.10246:18333 207.95528:34019 207.96736:15791 208.06126:20187 208.94875:162175 208.98376:14352 209.00383:26068 209.0117:35460 209.08194:25132 209.9528:17335 210.53253:18484 210.98308:32937 211.03831:22038 211.09721:45280,52.63738:3218 55.68653:3590 64.6964:3616 79.95616:24946 80.96403:19454 85.66541:3936 112.58012:3984 125.16705:3559 125.30929:3778 126.99487:70956 177.46523:4074 186.38034:4189 206.95085:50789
4451,Unknown,2790,6.832567,6.912783,6.9653,295.0317,6338064,35578548,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,19.80776,295.03174:1960073 295.07224:78150 295.11945:37527 295.15564:11868 295.91946:18980 296.03564:192470 296.07645:9660 296.95169:144222 297.02704:153403 297.05496:14717 297.08044:14412 297.08865:112946 297.13458:31684 297.91635:9434 297.9357:120707 297.95416:10638 298.03101:18943 298.03955:27657 298.04929:14553 298.09201:22274 298.93954:8486 298.94794:111278 299.00696:11756 299.03271:11405 299.11365:15964 299.15045:18214 299.93222:83812 299.952:8615,50.61858:4130 52.29674:3826 54.34781:4137 57.63191:4431 63.32092:5010 65.47079:4060 86.74721:4467 91.41019:5286 96.95835:6873 109.97721:4605 116.0268:4320 161.03452:8670 186.08624:5976 251.08414:11275 295.03336:435228
4461,Unknown,2811,6.900633,6.971017,7.001417,314.9512,1095269.875,3932478.75,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,10.61072,314.95258:498038 314.99353:65830 315.0629:59424 315.95547:43052 316.09402:25917 316.94861:233450 317.00082:17334 317.04498:22165 317.0704:17630 317.07797:51968 317.11459:23145 317.15994:60115 317.99484:22992 318.14551:29733 318.90848:24853 318.94495:29474 319.04895:19065 319.08411:21480 319.09344:152841 319.11923:23844 319.15576:25569,52.40488:3398 53.15627:3785 53.4486:3916 53.68472:4066 53.95661:4249 55.86472:3659 60.00068:3309 62.92089:4238 63.96088:6322 64.96872:4718 66.03312:7247 78.03347:9561 79.95625:32844 80.96346:18042 83.87917:4375 93.99591:22353 96.95897:28653 111.30845:4756 114.00983:17356 123.05572:9695 136.19562:5521 139.98923:15659 158.00201:6442 160.00636:5966 164.03354:7869 187.01669:6027 191.04434:6570 192.95959:5874 235.03613:6650 243.07697:13479 250.97922:23389 252.92441:5301 271.07596:7678
4463,Unknown,2811,6.81775,6.971017,7.001417,366.0054,7290850.5,23217438,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,11.68206,366.00543:3677576 366.07678:34028 367.00903:453205 367.06033:17266 367.10535:19669 367.14038:29226 367.17709:31526 368.0025:1297278 368.05621:25218 368.97714:42417 369.00574:172669 369.03094:18889 369.15536:22109 369.99939:59736 370.07199:20297 370.97849:16684 370.99203:25154,57.07248:3984 60.10353:4021 61.50333:4615 63.89785:4224 64.94637:3952 66.20038:4136 80.96394:285071 107.87894:5501 133.83719:5512 141.34535:5240 225.0193:5236 240.04289:35491 240.33612:5660 322.01718:22806 353.95712:5806 366.00421:12242
4468,Unknown,2811,6.94165,6.971017,7.048467,393.0097,1116238,3481216.5,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,4.056397,392.97269:20581 393.00967:602821 393.05029:17688 393.15564:35796 393.1926:22568 394.01306:73005 394.03732:69651 395.00488:35092 395.02618:53951 395.05515:16170 395.09052:17616 395.13336:22309 395.17059:36180 396.01764:18381 396.03445:24546 396.08679:43111 396.90115:33004 397.85724:14843 397.90619:15321,51.03824:842 58.2388:879 59.03432:885 60.05053:845 61.50196:871 64.7275:877 67.4716:838 79.9563:47644 80.96404:8618 96.95834:1761 106.96234:1094 131.64975:1026 135.05556:1234 189.07112:1154 203.36383:1143 219.74792:1008 220.93297:1095 224.13507:936 242.82195:1143 313.05038:114825 393.00833:53901 393.15613:3866
4474,Unknown,2841,7.0397,7.062016,7.162317,213.963,3696918.75,14870420,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,35.73608,213.96303:1158301 213.98225:430353 214.96709:113588 214.98341:35438 215.04883:191904 215.05669:17962 215.08212:22170 215.09259:25374 215.12849:18111 215.95239:150038 215.95857:100007 216.03293:38831 216.07736:28052 217.00287:284682 217.01407:58102 217.04463:42664 217.05377:60348 217.10757:42410 217.94897:52699 217.95889:19671 217.97722:42687 218.05659:25704 218.16736:41594,53.95173:3612 54.59758:3747 57.97413:10397 59.61594:3493 65.17134:3195 68.25049:3475 69.76741:3756 71.44303:3952 79.95583:5653 81.04298:4199 134.00655:186995 143.47299:3902 150.00098:28240 213.96344:62169
4479,Unknown,2849,7.02465,7.0835,7.347867,168.9884,96437672,721172224,,[M-H]-,M + 0,found in higher mz's MsMs_4481,,,,,,,999,FALSE,FALSE,FALSE,,,,,,647.8494,168.92957:117414 168.98845:33725044 169.02751:35858 169.04523:49353 169.04939:82161 169.08636:69502 169.99196:1075028 170.9695:21066 171.0554:25224 171.10211:80756 171.13823:79861 171.99895:95739 173.00502:24346 173.0806:22546,53.95473:9066 57.81369:7898 63.2617:8071 156.77161:10078 168.98918:1734182
