SMILES,Formula,formula1,mz,Ref
FCC(F)(F)C(F)C(F)F,C4H4F6,C4H4F6,165.0144394,EPA_Dashboard
CC(C(F)(F)F)C(F)(F)F,C4H4F6,C4H4F6,165.0144394,EPA_Dashboard
FCC(F)(F)C(F)(F)CF,C4H4F6,C4H4F6,165.0144394,EPA_Dashboard
FC(F)CC(F)C(F)(F)F,C4H4F6,C4H4F6,165.0144394,EPA_Dashboard
CC(F)C(F)(F)C(F)(F)F,C4H4F6,C4H4F6,165.0144394,EPA_Dashboard
FCC(F)C(F)C(F)(F)F,C4H4F6,C4H4F6,165.0144394,EPA_Dashboard
FC1(F)C2C=CC(C2)C1(F)F,C7H6F4,C7H6F4,165.0332831,EPA_Dashboard
NC(C(F)(F)F)C(F)(F)F,C3H3F6N,C3H3F6N1,166.0096884,EPA_Dashboard
FCC(F)(F)C(F)(F)Cl,C3H2ClF5,C3H2Cl1F5,166.9692388,EPA_Dashboard
FC(F)C(F)(F)C(F)Cl,C3H2ClF5,C3H2Cl1F5,166.9692388,EPA_Dashboard
FC(F)(F)C(F)(F)CCl,C3H2ClF5,C3H2Cl1F5,166.9692388,EPA_Dashboard
FCC(F)(F)OC(F)(F)F,C3H2F6O,C3H2F6O1,166.993704,EPA_Dashboard
FC(F)OC(F)(F)C(F)F,C3H2F6O,C3H2F6O1,166.993704,EPA_Dashboard
OC(F)(F)C(F)(F)C(F)F,C3H2F6O,C3H2F6O1,166.993704,EPA_Dashboard
FC(F)OC(F)C(F)(F)F,C3H2F6O,C3H2F6O1,166.993704,EPA_Dashboard
OC(C(F)(F)F)C(F)(F)F,C3H2F6O,C3H2F6O1,166.993704,EPA_Dashboard
FC1(F)C2CN=NC2C1(F)F,C5H4F4N2,C5H4F4N2,167.023781,EPA_Dashboard
FC(F)C(F)(F)n1ccnc1,C5H4F4N2,C5H4F4N2,167.023781,EPA_Dashboard
F[C](C(F)(F)F)C(F)(F)F,C3F7,C3F7,167.9815425,EPA_Dashboard
F[C](F)C(F)(F)C(F)(F)F,C3F7,C3F7,167.9815425,EPA_Dashboard
N#CC#CC(F)(F)C(F)(F)F,C5F5N,C5F5N1,167.9878101,EPA_Dashboard
FC(F)(F)C(F)(Cl)Cl,C2Cl2F4,C2Cl2F4,168.9240382,EPA_Dashboard
FC(F)(Cl)C(F)(F)Cl,C2Cl2F4,C2Cl2F4,168.9240382,EPA_Dashboard
FC(C(F)(F)F)C(F)(F)F,C3HF7,C3H1F7,168.9893676,EPA_Dashboard
FN(F)C(F)(F)C(F)(F)F,C2F7N,C2F7N1,169.9846165,EPA_Dashboard
O=C1NC(=O)C(F)(F)C1(F)F,C4HF4NO2,C4H1F4N1O2,169.9870612,EPA_Dashboard
CC=CC1(F)C(F)(F)C1(F)F,C6H5F5,C6H5F5,171.0238613,EPA_Dashboard
C=CCC(F)=C(F)C(F)(F)F,C6H5F5,C6H5F5,171.0238613,EPA_Dashboard
